,delta,nodes_cc,length_cc,i,j
158,16809.972869839065,33887.0,1467.7759669999891,46280732.0,1324899991.0
159,16954.509390442865,33893.0,1468.2810029999894,1769695259.0,1979667831.0
160,17133.83886700026,33899.0,1468.4527149999897,46558416.0,4847860140.0
161,17347.801310506326,33905.0,1468.6017849999894,914803396.0,3803531913.0
162,17431.241015700685,33911.0,1468.6417009999896,46477937.0,5324010352.0
163,17512.735418755732,33916.0,1468.8487669999897,31296310.0,31296309.0
164,17583.381108048165,33921.0,1468.9505269999902,66967620.0,46080538.0
165,17589.736342324086,33926.0,1469.1674509999898,2406468091.0,63611554.0
166,17655.82773295624,33931.0,1469.2981159999906,4335168522.0,4335168528.0
167,17714.102024418396,33936.0,1469.5338859999906,1324680241.0,46276379.0
168,17764.38566132135,33941.0,1469.7437679999907,461797292.0,46289270.0
169,17778.303647662935,33946.0,1469.91975699999,3504832104.0,46295972.0
170,17900.660944600248,33951.0,1470.0526069999898,803491382.0,46300931.0
171,18038.856087355267,33956.0,1470.1483549999898,1692950661.0,1692950697.0
172,18142.480184016393,33961.0,1470.28975299999,297230905.0,3784893828.0
173,18173.062355392907,33966.0,1470.4716589999903,46331144.0,46331856.0
174,18246.772518006008,33971.0,1470.6391329999906,351436687.0,46342537.0
175,18300.197835188377,33976.0,1470.9155829999906,46355098.0,46355403.0
176,18360.464318572976,33981.0,1471.2970469999912,46356466.0,46354595.0
177,18479.832827188595,33986.0,1471.367039999991,687704903.0,3198781261.0
178,18486.85758365308,33991.0,1471.4379509999908,46379233.0,46379587.0
179,18516.42244652552,33996.0,1471.5203889999912,46382485.0,2301811983.0
180,18602.43083613954,34001.0,1471.7443169999917,1473438986.0,3895840778.0
181,18667.737561109014,34006.0,1471.8609169999918,795901339.0,795901346.0
